"category","name","code","brand","quantity","gross","sales","tax","sales_plus_tax","units_in_stock","unit_cost","profit","id","others"
Hijacksandals/Product,Alto Orca,ALT-OG,"",415,0,224774900,0,224774900,343,207085000,17689900,"3ed92021-386f-4cf2-9be7-edcdb828c683",Alto
Hijacksandals/Product,Alley Blach,ALB,"",338,0,128860000,0,128860000,945,128102000,758000,"0d20f3b6-833e-47c1-8ae6-04f229a17eef",Alley
Hijacksandals/Product,Alley Salt,ALW,"",328,0,107806550,0,107806550,150,124312000,-16505450,e065edd2-ebb1-4608-a61a-402c990fa3f4,Alley
Hijacksandals/Product,Alley Clay,AMR,"",278,0,94273048,0,94273048,345,105362000,-11088952,e565b323-e8c4-432f-bd64-0374b875630b,Alley
Hijacksandals/Product,Twyla Sputnik,TWYS,"",144,0,93456000,0,93456000,0,93456000,0,"702cb4b9-7056-4519-ae52-23a2ee294042",Twyla
Hijacksandals/Product,Flo Blach,IVB,"",135,0,86047200,0,86047200,0,84915000,1132200,fee66467-d674-4e4a-af9e-d6c9f49a0e78,Flo
Hijacksandals/Product,Manic Coral,MHA,"",167,0,72495500,0,72495500,51,90013000,-17517500,d7ffebf9-0e64-4220-a2bb-b70286676196,Manic
Hijacksandals/Product,Flo Brun,FLOB,"",86,0,64649619,0,64649619,0,62694000,1955619,"0198eb19-7077-7184-8b61-7f1cae27c512",Flo
Hijacksandals/Product,Flo Sputnik,IVS,"",100,0,62900000,0,62900000,0,62900000,0,"786d3e31-8ba9-4cb8-bf99-6cd251c5ebb3",Flo
Hijacksandals/Product,Campbell Taupe,CPTA,"",112,0,61488000,0,61488000,172,61488000,0,"1485a85d-dcc6-4a04-b2c3-494a88e0b76f",Campbell
Hijacksandals/Product,Twyla Croco Noir,TCN,"",52,0,34851300,0,34851300,0,33748000,1103300,"5039377c-4a3a-4cc1-8f04-ca16bf3c6141",Twyla
Hijacksandals/Product,Manic Rhea,MR,"",66,0,33732462,0,33732462,0,35574000,-1841538,"2062071a-13b1-4366-a0d4-20498d15733f",Manic
Hijacksandals/Product,Alto Pickle,AL-P,"",55,0,26623450,0,26623450,0,27445000,-821550,b0adf29e-7346-4375-8cc8-9f532217d2a1,Alto
Hijacksandals/Product,Flo Silven,FLOS,"",25,0,18225000,0,18225000,0,18225000,0,"0198eb1c-53a7-71c0-9dce-2d68d57ca226",Flo
Hijacksandals/Product,Manic Nutmeg,MS-T,"",33,0,16067590,0,16067590,0,17787000,-1719410,f7218b08-19c3-457a-a3b2-cd496c5647e4,Manic
Hijacksandals/Product,Alto Nutmeg,AN-S,"",33,0,15568800,0,15568800,0,16467000,-898200,"3bf5c641-284a-4c33-98ab-186adc3d268f",Alto
Hijacksandals/Product,Alto Ether,AL-E,"",17,0,8757450,0,8757450,0,8483000,274450,dca24fb3-a453-4019-a554-554a6a6f6e62,Alto
Hijacksandals/Product,Celtic Ymir,CY,"",20,0,8682600,0,8682600,0,9980000,-1297400,dc7c5b18-e645-4ff5-965f-e516e4b5ea1f,Celtic
Hijacksandals/Product,Campbell Thyme,CMTH,"",16,0,8427150,0,8427150,0,8784000,-356850,"30ef3d91-2dcf-4a77-b19a-7583ed0e08c4",Campbell
Hijacksandals/Product,Manic Cabin,MHR,"",16,0,8372512,0,8372512,0,8624000,-251488,b2973ce3-1df9-4e04-91d0-371308f46c7b,Manic
Hijacksandals/Product,New Astro Blach,NAB,"",12,0,7982550,0,7982550,0,8748000,-765450,"61c07577-26a3-4c3f-92fa-39379348eae7",New
Hijacksandals/Product,Flo Celeste,IVA,"",12,0,7548000,0,7548000,0,7548000,0,"105285d1-f5cf-44eb-ac72-00493af44fc7",Flo
Hijacksandals/Product,Alto Orca Mach-1,ALT-AB,"",11,0,7297850,0,7297850,0,7909000,-611150,"6dc08997-c83f-4301-b9af-a91b4921ed2a",Alto
Hijacksandals/Product,New Astro Sputnik,NAS,"",10,0,6852600,0,6852600,0,7290000,-437400,"916be8fd-f7e0-4ed3-807c-c2290e7a93ef",New
Hijacksandals/Product,New Astro Nutmeg,NAN,"",9,0,6293169,0,6293169,0,6561000,-267831,"996ee82e-5a5d-4418-be3a-d326100862f3",New
Hijacksandals/Product,Manic Pickle Blush,MNC-PCB,"",12,0,6036800,0,6036800,0,6468000,-431200,b65ced8f-7f43-438f-857d-3388f52a6a25,Manic
Hijacksandals/Product,Alto Storm Mach-1,AGM,"",8,0,4966500,0,4966500,0,6160000,-1193500,ad2691e2-7d77-429b-877a-9f7c486241a4,Alto
